,City name,Country,Cloudiness,Dates,Humidities,Lats,Lngs,Max_temps,Wind_speeds
312,torbay,CA,75,1632328837,40,47.6666,-52.7314,76.87,17.27
313,fortuna,US,1,1632328837,88,40.5982,-124.1573,58.12,0.0
314,banda aceh,IN,8,1632328997,72,25.4833,80.3333,82.22,7.11
315,kermanshah,IR,0,1632328838,13,34.3142,47.065,77.9,18.41
316,nanyang,CN,98,1632328838,77,32.9947,112.5328,73.85,5.55
317,andenes,NO,75,1632328839,76,69.3143,16.1194,49.98,20.71
318,charters towers,US,100,1632328998,96,38.5736,-83.4333,61.3,13.47
319,petropavlovsk-kamchatskiy,RU,0,1632328839,100,53.0452,158.6483,34.39,8.95
320,tecoanapa,MX,18,1632328840,66,16.5167,-98.75,86.32,3.98
321,caravelas,BR,100,1632328840,67,-17.7125,-39.2481,74.34,19.08
322,loandjili,CG,20,1632328840,78,-4.7561,11.8578,80.71,10.36
323,hambantota,LK,35,1632328840,84,6.1241,81.1185,81.54,16.28
324,praya,CV,0,1632328841,55,14.9215,-23.5087,88.34,14.97
325,riberalta,BO,40,1632328841,51,-10.9833,-66.1,89.8,11.5
326,luwuk,ID,99,1632328842,90,-0.9516,122.7875,75.25,4.16
327,geraldton,AU,0,1632328842,71,-28.7667,114.6,52.21,4.61
328,roald,NO,40,1632328842,76,62.5833,6.1333,56.16,14.97
329,nago,JP,31,1632328843,82,26.5881,127.9761,84.27,1.34
330,champerico,GT,73,1632328843,70,14.3,-91.9167,90.77,3.56
331,kavaratti,IN,95,1632328844,78,10.5669,72.642,82.26,17.34
332,dese,ET,84,1632328845,80,11.1333,39.6333,56.44,1.99
333,high level,US,0,1632329000,24,33.6123,-95.7472,77.86,14.18
334,ilulissat,GL,75,1632328845,51,69.2167,-51.1,30.22,5.75
335,hayden,US,1,1632328712,73,47.766,-116.7866,58.21,5.75
336,dicabisagan,PH,33,1632328846,87,17.0818,122.4157,79.83,2.28
337,solwezi,ZM,12,1632328846,25,-12.1688,26.3894,73.83,4.99
338,ngunguru,NZ,100,1632328846,94,-35.6167,174.5,59.16,13.2
339,kaeo,NZ,99,1632328847,97,-35.1,173.7833,59.32,13.22
340,belaya gora,UA,100,1632329000,84,49.029,25.7706,44.08,13.91
341,ancud,CL,100,1632328847,88,-41.8697,-73.8203,53.13,14.18
342,manokwari,ID,78,1632328848,82,-0.8667,134.0833,77.72,7.18
343,bilibino,RU,100,1632328848,73,68.0546,166.4372,27.63,3.11
344,apatou,GF,48,1632328849,41,5.155,-54.3472,93.69,3.44
345,kodiak,US,1,1632328849,80,57.79,-152.4072,29.71,6.91
346,noumea,NC,99,1632328849,79,-22.2763,166.4572,62.58,12.97
347,fort stewart,NL,38,1632329001,78,52.6517,6.3861,67.17,7.36
348,popondetta,PG,100,1632328851,97,-8.7537,148.2534,72.7,0.65
349,broome,US,75,1632328851,73,42.2506,-75.833,76.08,3.0
350,bilma,NE,29,1632328852,10,18.6853,12.9164,95.59,1.66
351,kropotkin,RU,100,1632328852,66,45.4375,40.5756,56.48,3.49
352,sept-iles,CA,90,1632328852,81,50.2001,-66.3821,61.32,1.99
353,pontes e lacerda,BR,62,1632329002,21,-4.8333,-43.3667,98.64,3.36
354,marawi,PH,93,1632328853,95,7.9986,124.2928,65.64,1.21
355,muros,ES,36,1632328853,50,42.7762,-9.0603,74.84,16.98
356,lakhnau,IN,75,1632328793,89,26.85,80.9167,80.58,3.44
357,nongan,CN,100,1632328854,95,44.382,125.1685,57.61,9.98
358,mehamn,NO,75,1632328854,76,71.0357,27.8492,48.38,43.73
359,kiama,AU,0,1632328855,79,-34.6833,150.8667,54.88,5.79
360,meridian,US,1,1632328855,40,43.6121,-116.3915,64.18,8.05
361,abha,SA,40,1632328855,60,18.2164,42.5053,73.22,11.5
362,hasaki,JP,89,1632328855,85,35.7333,140.8333,77.4,20.15
363,mount gambier,GB,33,1632328976,70,53.6597,-1.8537,65.32,5.01
364,kathu,TH,99,1632328856,81,7.9178,98.3332,80.42,9.91
365,beringovskiy,RU,100,1632328856,66,63.05,179.3167,34.45,2.73
366,armizonskoye,RU,91,1632328857,87,55.9461,67.6736,38.14,7.94
367,bahile,PH,100,1632328857,89,9.9995,118.7878,77.13,1.7
368,ust-uda,RU,54,1632328857,91,54.1742,103.0304,33.98,2.89
369,san patricio,ML,54,1632328985,35,13.3034,-4.8956,95.59,8.03
370,kaitangata,NZ,8,1632328858,90,-46.2817,169.8464,40.23,4.14
371,matamoros,MX,75,1632328858,60,25.5333,-103.25,73.51,13.8
372,port hedland,CD,28,1632329005,47,-7.0349,29.7638,81.37,0.74
373,mogadouro,PT,98,1632328859,40,41.3403,-6.7119,64.76,8.63
374,cayenne,GF,75,1632328642,75,4.9333,-52.3333,89.64,7.0
375,cambuquira,BR,4,1632328859,30,-21.8522,-45.2958,82.89,9.01
376,ariquemes,BR,3,1632328860,17,-9.9133,-63.0408,109.42,0.65
377,rocha,UY,42,1632328860,59,-34.4833,-54.3333,62.94,11.41
378,rio gallegos,GR,13,1632328983,58,38.3,21.7833,75.78,14.18
379,phuket,TH,40,1632328591,83,8.0,98.25,80.82,6.91
380,razole,IN,100,1632328861,85,16.4833,81.8333,82.69,3.15
381,salalah,OM,75,1632328861,89,17.0151,54.0924,80.69,6.91
382,bairiki,KI,20,1632328861,69,1.3292,172.9752,82.4,10.36
383,tchaourou,BJ,100,1632328862,94,8.8865,2.5975,73.13,2.24
384,flinders,AU,0,1632328862,79,-34.5833,150.8552,54.68,1.01
385,ozernovskiy,RU,99,1632328862,74,51.5,156.5167,47.98,4.38
386,imeni poliny osipenko,NG,99,1632329006,96,7.3199,5.9646,72.39,3.33
387,cuamba,MZ,52,1632328863,38,-14.8031,36.5372,78.66,12.06
388,ures,MX,99,1632328864,35,29.4333,-110.4,87.28,12.39
389,wilmington,US,90,1632328599,89,34.2257,-77.9447,76.96,12.66
390,tatawin,TN,35,1632328864,39,32.9297,10.4518,104.88,12.88
391,tapejara,BR,75,1632328775,50,-28.0681,-52.0139,66.51,10.54
392,lake charles,US,75,1632329007,69,42.3334,-88.0006,61.09,8.01
393,tarut,SA,0,1632328865,38,26.5733,50.0369,91.6,6.33
394,kosh-agach,RU,43,1632328865,51,50.0,88.6667,29.59,3.8
395,omboue,GA,38,1632328865,80,-1.5746,9.2618,78.48,10.65
396,strezhevoy,RU,100,1632328866,89,60.7333,77.5889,33.78,6.53
397,namatanai,PG,100,1632328866,84,-3.6667,152.4333,77.9,7.63
398,maputo,MZ,20,1632328866,70,-25.9653,32.5892,67.68,3.0
399,arman,RU,83,1632328867,76,59.7,150.1667,42.26,6.26
400,daru,PG,99,1632328867,86,-9.0763,143.2092,76.17,18.72
401,visby,SE,20,1632328867,87,57.6409,18.296,53.06,8.05
402,koumac,NC,100,1632328867,74,-20.5667,164.2833,68.14,13.96
403,dakoro,NE,99,1632328868,33,14.5106,6.765,93.83,10.16
404,pinega,RU,0,1632328868,78,64.7001,43.3936,38.35,4.25
405,saldanha,ZA,80,1632328868,59,-33.0117,17.9442,77.05,12.64
406,grindavik,IS,40,1632328869,75,63.8424,-22.4338,41.47,9.22
407,fort nelson,NL,38,1632329009,78,52.6517,6.3861,67.17,7.36
408,puerto quijarro,ES,40,1632329009,57,36.5939,-6.233,80.74,6.91
409,narbonne,FR,71,1632328870,37,43.0833,2.8333,78.58,2.95
410,grand centre,US,0,1632329010,16,38.8755,-109.5012,69.82,3.98
411,seoul,KR,0,1632328622,85,37.5683,126.9778,65.64,1.14
412,yurino,RU,100,1632328871,95,56.2942,46.3039,49.32,9.31
413,chipinge,ZW,47,1632328871,81,-20.1883,32.6236,57.2,5.77
414,mirnyy,RU,100,1632328871,89,62.5353,113.9611,34.59,4.09
415,sao felix do xingu,IN,97,1632329010,93,20.5113,76.2129,72.27,9.71
416,alpena,US,90,1632328809,76,45.0617,-83.4327,54.1,7.0
417,antofagasta,CL,77,1632328872,60,-23.65,-70.4,67.21,13.78
418,honningsvag,NO,75,1632328873,76,70.9821,25.9704,47.95,28.77
419,alikovo,RU,100,1632328873,95,55.7383,46.7549,48.07,10.76
420,sambava,MG,33,1632328873,75,-14.2667,50.1667,73.62,13.85
421,niquero,CU,6,1632328874,65,20.0431,-77.5828,86.81,4.38
422,sao filipe,IN,97,1632329010,93,20.5113,76.2129,72.27,9.71
423,zar,AM,36,1632328874,50,40.2588,44.732,66.22,9.48
424,auki,SB,82,1632328875,85,-8.7676,160.7034,76.55,2.98
425,cairns,AU,40,1632328875,80,-16.9167,145.7667,60.75,10.36
426,palmer,US,90,1632328875,82,42.1584,-72.3287,77.04,8.05
427,vao,NC,75,1632328876,80,-22.6667,167.4833,66.04,26.04
428,gushikawa,JP,1,1632328876,92,26.3544,127.8686,83.43,0.0
429,shaunavon,CA,8,1632328713,21,49.6501,-108.4181,60.58,18.32
430,taguatinga,BR,9,1632328876,9,-12.3857,-46.5711,108.7,4.76
431,buala,SB,99,1632328877,79,-8.145,159.5921,79.2,2.68
432,ylojarvi,FI,0,1632328877,73,61.5563,23.5961,44.51,4.61
433,hun,LY,0,1632328878,11,29.1268,15.9477,93.2,6.13
434,puerto baquerizo moreno,ES,40,1632328977,57,36.5939,-6.233,80.74,6.91
435,tarko-sale,RU,82,1632328879,77,64.9225,77.785,31.5,11.43
